Date,Open,High,Low,Close,Volume,Market Cap
24-Jun-18,6164.28,6223.78,5826.41,6173.23," 4,566,909,952.00 "," 105,646,571,668.00 "
23-Jun-18,6090.1,6224.82,6071.81,6162.48," 3,431,360,000.00 "," 105,449,276,520.00 "
22-Jun-18,6737.88,6747.08,6006.6,6083.69," 5,079,810,048.00 "," 104,088,814,967.00 "
21-Jun-18,6780.09,6810.94,6715.17,6729.74," 3,529,129,984.00 "," 115,129,700,024.00 "
20-Jun-18,6770.76,6821.56,6611.88,6776.55," 3,888,640,000.00 "," 115,916,357,344.00 "
19-Jun-18,6742.39,6822.5,6709.92,6769.94," 4,057,029,888.00 "," 115,789,919,278.00 "
18-Jun-18,6510.07,6781.14,6446.68,6734.82," 4,039,200,000.00 "," 115,176,197,712.00 "
17-Jun-18,6545.53,6589.11,6499.27,6499.27," 3,104,019,968.00 "," 111,134,754,810.00 "
16-Jun-18,6455.45,6592.49,6402.29,6550.16," 3,194,170,112.00 "," 111,992,015,616.00 "
15-Jun-18,6674.08,6681.08,6433.87,6456.58," 3,955,389,952.00 "," 110,378,702,283.00 "
14-Jun-18,6342.75,6707.14,6334.46,6675.35," 5,138,710,016.00 "," 114,106,009,748.00 "
13-Jun-18,6596.88,6631.66,6285.63,6349.9," 5,052,349,952.00 "," 108,530,585,830.00 "
12-Jun-18,6905.82,6907.96,6542.08,6582.36," 4,654,380,032.00 "," 112,491,874,164.00 "
11-Jun-18,6799.29,6910.18,6706.63,6906.92," 4,745,269,760.00 "," 118,025,877,189.00 "
10-Jun-18,7499.55,7499.55,6709.07,6786.02," 5,804,839,936.00 "," 115,948,312,827.00 "
9-Jun-18,7632.52,7683.58,7531.98,7531.98," 3,845,220,096.00 "," 128,682,085,689.00 "
8-Jun-18,7685.14,7698.19,7558.4,7624.92," 4,227,579,904.00 "," 130,256,218,613.00 "
7-Jun-18,7650.82,7741.27,7650.82,7678.24," 4,485,799,936.00 "," 131,153,169,176.00 "
6-Jun-18,7625.97,7680.43,7502.01,7653.98," 4,692,259,840.00 "," 130,725,095,161.00 "
5-Jun-18,7500.9,7643.23,7397,7633.76," 4,961,739,776.00 "," 130,365,918,088.00 "
4-Jun-18,7722.53,7753.82,7474.04,7514.47," 4,993,169,920.00 "," 128,312,205,314.00 "
3-Jun-18,7632.09,7754.89,7613.04,7720.25," 4,851,760,128.00 "," 131,808,021,256.00 "
2-Jun-18,7536.72,7695.83,7497.26,7643.45," 4,939,299,840.00 "," 130,481,526,036.00 "
1-Jun-18,7500.7,7604.73,7407.34,7541.45," 4,921,460,224.00 "," 128,725,854,692.00 "
31-May-18,7406.15,7608.9,7361.13,7494.17," 5,127,130,112.00 "," 127,902,999,390.00 "
30-May-18,7469.73,7573.77,7313.6,7406.52," 4,922,540,032.00 "," 126,391,893,474.00 "
29-May-18,7129.46,7526.42,7090.68,7472.59," 5,662,660,096.00 "," 127,502,651,064.00 "
28-May-18,7371.31,7419.05,7100.89,7135.99," 5,040,600,064.00 "," 121,747,389,422.00 "
27-May-18,7362.08,7381.74,7270.96,7368.22," 4,056,519,936.00 "," 125,695,017,596.00 "
